Kode ICAO;LONG;LAT;AMO;AMF
WATG;120.47694;-8.64222;8;3
WAAA;119.5475;-5.07667;20;19
WABB;136.11361;-1.15;8;8
WABI;135.49611;-3.36861;8;8
WABO;136.24306;-1.75833;3;1
WADB;118.6875;-8.53917;12;7
WADD;115.1675;-8.74806;19;17
WADL;116.27667;-8.75752;23;17
WADS;117.41222;-8.48972;8;6
WADY;114.14028;-8.45722;20;12
WAEE;127.38083;0.83111;8;7
WAEG;127.60194;1.83889;6;4
WAEL;127.51083;-0.6375;7;6
WAES;125.16556;-1.83389;9;3
WAEW;128.3167528;2.050294854;0;1
WAFF;119.9102351;-0.916448514;10;9
WAFJ;118.89917;-2.68528;12;9
WAFL;120.79472;1.12278;9;7
WAFM;120.32194;-2.55833;8;5
WAFP;120.6575;-1.41667;7;0
WAFT;119.01694;-2.55889;6;5
WAFW;122.7713991;-1.04036546;5;5
WAGB;114.9265047;-1.021644729;11;6
WAGG;113.945422;-2.233314095;26;8
WAGI;111.67278;-2.70444;9;7
WAGM;114.7825;-1.83528;7;5
WAGS;112.9755368;-2.499202406;10;8
WAHH;110.4319011;-7.786321528;14;9
WAHI;110.06111;-7.905;16;14
WAHL;109.03333;-7.64528;15;10
WAHQ;110.7581071;-7.515634585;10;6
WAHS;110.3735205;-6.970799736;15;12
WAJI;138.79528;-2.57472;3;3
WAJJ;140.51611;-2.57611;23;22
WAKK;140.41778;-8.51917;11;7
WAKT;140.28194;-6.08222;6;3
WALL;116.86833;-1.2675;8;6
WALS;117.44611;-0.97944;13;12
WAMG;123.05972;0.54667;12;12
WAMH;125.52722;3.68389;8;0
WAMM;124.92588;1.54945;18;11
WAOK;116.16528;-3.29417;9;7
WAOO;114.79889;-3.41667;19;14
WAPA;128.92;-3.34583;8;8
WAPC;129.895;-4.525;10;5
WAPF;132.75806;-5.76083;6;6
WAPP;128.19139;-3.68611;7;7
WAPR;127.09;-3.24972;8;0
WAPS;132.75;-5.76667;6;0
WAQA;117.66667;4.13333;7;1
WAQD;117.56528;3.34889;11;2
WAQQ;117.5671741;3.327022595;11;6
WAQT;117.4321791;2.15562644;4;3
WARA;112.7119762;-7.929194283;6;9
WARD;111.9478572;-7.754759671;4;3
WARR;112.78694;-7.37972;25;19
WART;113.88917;-7.02444;3;0
WARW;112.4;-6.8425;9;0
WASF;132.26806;-2.92083;8;6
WASK;133.77222;-3.65778;9;8
WASS;131.25379;-0.88923;19;11
WATC;122.23694;-8.64056;11;8
WATL;122.98222;-8.36611;9;7
WATM;124.59722;-8.09111;9;8
WATO;119.88917;-8.48667;9;6
WATR;123.07222;-10.71167;10;3
WATS;121.93778;-10.47639;13;11
WATT;123.65806;-10.16722;8;8
WATU;120.30278;-9.67083;10;6
WAUU;134.04944;-0.89111;7;5
WAVV;138.95694;-4.09667;8;8
WAWB;122.56889;-5.48667;10;7
WAWP;121.59583;-4.08361;10;4
WAWW;122.4087111;-4.08374286;3;4
WAYE;136.56139;-3.93;5;5
WAYY;136.8900438;-4.527213096;9;9
WIBB;101.45;0.41;14;13
WIBJ;102.3375;-0.35333;8;5
WICA;108.1540919;-6.648039941;16;10
WICC;107.5761325;-6.901619142;8;2
WIDD;104.1154578;1.123601992;9;11
WIDM;106.2583008;3.347110013;4;0
WIDO;108.3854487;3.920133797;2;1
WIDS;104.57917;-0.49889;5;4
WIDT;103.39389;1.07111;8;6
WIEE;100.2863065;-0.788212086;16;8
WIGG;102.3394976;-3.860827331;3;2
WIHH;106.8916026;-6.268413703;5;9
WIII;106.65583;-6.12556;33;30
WIJI;101.47167;-2.06472;5;0
WIJJ;103.6430453;-1.635346873;17;11
WIKK;106.1381675;-2.162277446;16;14
WIKT;107.7529809;-2.745047595;1;2
WILL;105.1754809;-5.24026219;21;15
WIMA;96.95083;5.22694;12;8
WIMB;97.71667;1.16667;5;4
WIME;99.43059892;1.39909815;6;5
WIMM;98.8773;3.63383;15;15
WIMN;98.99167;2.25833;4;2
WIMS;98.89056;1.55861;5;2
WIOD;107.75472;-2.745;8;5
WIOG;111.74833;-0.33667;4;2
WIOO;109.414;-0.161;13;9
WIOP;112.93667;0.83583;10;7
WIOS;111.47278;0.06361;4;2
WIPP;104.71444;-2.88917;17;11
WIRR;106.57;-6.29333;13;9
WITC;96.51194;3.75639;12;4
WITN;95.33917;5.87556;11;11
WITT;95.43806;5.52222;13;14
Grand Total;;;1114;787
